Temperatur;Magnetisierung;statistischer Fehler
1.0;0.99920734375;4.12235223841e-05
1.5;0.983911510417;0.000628917192797
2.0;0.78836640625;0.0078460718943
2.5;0.3597990625;0.00438130145025
3.0;0.247229739583;0.00254694289861
3.5;0.205141614583;0.00194796812195
4.0;0.18288375;0.00116020131904
4.5;0.168071822917;0.000970413081598
5.0;0.1582253125;0.000950051173924
